ID,NUMBER_OF_VICTIMS,DATE,TIME,HOUR,DATE_TIME,SUNSET,TEMPERATURE,PRECIPITATION,CLOUD_COVER,PLACE_OF_EVENT,TYPE_OF_STREET,STREET,HEIGHT,CROSSING,NORMALIZED_ADDRESS,COMMUNE,POS_X,POS_Y,PARTICIPANTS,VICTIM,ACCUSED,Incident_ID,Date,Year,Month,Day,Role,Victim,Gender,Age,Date_of_Death
2016-0026,1,2016-02-28,07:30:00,7,2016-02-28 07:30:00,19:32:36,23.9,,21.3,HOLMBERG Y VEDIA,CALLE,HOLMBERG,,VEDIA,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,Car-OBJETO FIJO,Car,Fixed Object,2016-0026,2016-02-28,2016,2,28,Driver,Car,Male,30,2016-03-04
2016-0027,1,2016-02-28,09:35:00,9,2016-02-28 09:35:00,19:32:30,24.0,,21.6,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,Car-Car,Car,Car,2016-0027,2016-02-28,2016,2,28,Passenger_Companion,Car,Male,34,
2016-0028,1,2016-03-02,10:00:00,10,2016-03-02 10:00:00,19:28:23,20.7,rain,68.3,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,Pedestrian-Cargo Vehicle,Pedestrian,Cargo Vehicle,2016-0028,2016-03-02,2016,3,2,Pedestrian,Pedestrian,Male,50,2016-03-02
2016-0029,1,2016-03-04,17:30:00,17,2016-03-04 17:30:00,19:26:06,21.5,rain,69.2,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,,DEHEZA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,Pedestrian-Passengers,Pedestrian,Passengers,2016-0029,2016-03-04,2016,3,4,Pedestrian,Pedestrian,Male,38,2016-03-04
2016-0031,1,2016-03-08,12:30:00,12,2016-03-08 12:30:00,19:20:53,21.2,,31.6,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,"PAZ, GRAL. AV.",,"ROCA, CNEL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,Motorcycle-Passengers,Motorcycle,Passengers,2016-0031,2016-03-08,2016,3,8,Driver,Motorcycle,Male,21,
2016-0034,1,2016-03-12,12:30:00,12,2016-03-12 12:30:00,19:15:10,18.5,,20.2,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",,"BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,Pedestrian-Passengers,Pedestrian,Passengers,2016-0034,2016-03-12,2016,3,12,Pedestrian,Pedestrian,Male,52,2016-03-12
2016-0035,1,2016-03-13,06:00:00,6,2016-03-13 06:00:00,19:13:44,19.5,,15.0,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,,CALLAO AV.,CORRIENTES AV. y CALLAO AV.,3,-58.39228965,-34.60443527,Motorcycle-Passengers,Motorcycle,Passengers,2016-0035,2016-03-13,2016,3,13,Driver,Motorcycle,Male,34,2016-03-13
2016-0036,1,2016-03-14,00:15:00,0,2016-03-14 00:15:00,19:12:19,21.8,,8.3,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,,"VALLE, ARISTOBULO DEL","HERRERA y VALLE, ARISTOBULO DEL",4,-58.37813396,-34.63668504,Motorcycle-Passengers,Motorcycle,Passengers,2016-0036,2016-03-14,2016,3,14,Passenger_Companion,Motorcycle,Male,36,2016-03-14
2016-0037,1,2016-03-19,11:00:00,11,2016-03-19 11:00:00,19:05:45,17.5,,65.5,AV. EVA PERON Y QUIRNO,AVENIDA,LAFUENTE AV.,,QUIRNO,LAFUENTE AV. y QUIRNO,7,-58.46275892,-34.64358293,Motorcycle-Motorcycle,Motorcycle,Motorcycle,2016-0037,2016-03-19,2016,3,19,Driver,Motorcycle,Male,20,2016-03-19
2016-0038,1,2016-03-21,08:06:00,8,2016-03-21 08:06:00,19:03:06,18.5,rain,80.0,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,"PAZ, GRAL. AV.",,ZUVIRIA,"PAZ, GRAL. AV. y ZUVIRIA",8,-58.49683458,-34.67892743,Pedestrian-Passengers,Pedestrian,Passengers,2016-0038,2016-03-21,2016,3,21,Pedestrian,Pedestrian,Male,29,2016-03-21
2016-0039,1,2016-03-23,01:50:00,1,2016-03-23 01:50:00,18:59:58,21.2,,21.7,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,"MITRE, BARTOLOME",,PUEYRREDON AV.,"MITRE, BARTOLOME y PUEYRREDON AV.",3,-58.40603217,-34.60883960,Motorcycle-Passengers,Motorcycle,Passengers,2016-0039,2016-03-23,2016,3,23,Driver,Motorcycle,Male,20,2016-03-23
2016-0041,2,2016-03-29,11:00:00,11,2016-03-29 11:00:00,18:51:53,22.3,,5.5,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.46076550,-34.63350444,Motorcycle-Cargo Vehicle,Motorcycle,Cargo Vehicle,2016-0041,2016-03-29,2016,3,29,Driver,Motorcycle,Male,54,2016-03-29
2016-0041,2,2016-03-29,11:00:00,11,2016-03-29 11:00:00,18:51:53,22.3,,5.5,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.46076550,-34.63350444,Motorcycle-Cargo Vehicle,Motorcycle,Cargo Vehicle,2016-0041,2016-03-29,2016,3,29,Passenger_Companion,Motorcycle,Male,42,2016-03-30
2016-0043,1,2016-03-30,18:15:00,18,2016-03-30 18:15:00,18:50:34,22.9,,14.2,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",,MURGUIONDO,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-58.47832463,-34.67494416,Pedestrian-Cargo Vehicle,Pedestrian,Cargo Vehicle,2016-0043,2016-03-30,2016,3,30,Pedestrian,Pedestrian,Female,56,2016-03-30
2016-0044,1,2016-03-31,19:40:00,19,2016-03-31 19:40:00,18:49:02,23.1,,15.3,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.",,BALBASTRO,"MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.43213235,-34.63693953,MULTIPLE,Motorcycle,Multiple,2016-0044,2016-03-31,2016,3,31,Driver,Motorcycle,Male,24,2016-03-31
2016-0045,1,2016-04-11,10:25:00,10,2016-04-11 10:25:00,18:34:36,17.1,,85.8,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,"PAZ, GRAL. AV.",,DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,Motorcycle-No Data,Motorcycle,No Data,2016-0045,2016-04-11,2016,4,11,Driver,Motorcycle,Male,42,
2016-0047,1,2016-04-15,05:30:00,5,2016-04-15 05:30:00,18:29:07,21.4,rain,91.7,LIMA 1483,CALLE,LIMA,1483.0,,LIMA 1483,1,-58.38247061,-34.62571878,Pedestrian-Passengers,Pedestrian,Passengers,2016-0047,2016-04-15,2016,4,15,Pedestrian,Pedestrian,Male,41,2016-04-15
2016-0048,1,2016-04-15,17:40:00,17,2016-04-15 17:40:00,18:29:24,21.4,rain,91.6,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,,DORREGO AV.,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.59170240,Pedestrian-Passengers,Pedestrian,Passengers,2016-0048,2016-04-15,2016,4,15,Pedestrian,Pedestrian,Female,42,
2016-0049,1,2016-04-17,00:00:00,0,2016-04-17 00:00:00,18:26:36,17.1,rain,94.6,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,No Data-No Data,No Data,No Data,2016-0049,2016-04-17,2016,4,17,No Data,No Data,No Data,42,
2016-0050,1,2016-04-19,09:50:00,9,2016-04-19 09:50:00,18:24:31,16.1,rain,86.8,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO",,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,Pedestrian-Passengers,Pedestrian,Passengers,2016-0050,2016-04-19,2016,4,19,Pedestrian,Pedestrian,Male,78,2016-04-19
2016-0051,1,2016-04-20,04:00:00,4,2016-04-20 04:00:00,18:23:06,15.9,,40.6,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",,"BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,Motorcycle-Cargo Vehicle,Motorcycle,Cargo Vehicle,2016-0051,2016-04-20,2016,4,20,Driver,Motorcycle,Male,36,2016-04-20
2016-0052,1,2016-04-20,20:00:00,20,2016-04-20 20:00:00,,,,,AUTOPISTA LUGONES PK 10000,AUTOPISTA,"LUGONES, LEOPOLDO AV.",,,,13,.,.,Motorcycle-No Data,Motorcycle,No Data,2016-0052,2016-04-20,2016,4,20,No Data,Motorcycle,No Data,42,
2016-0053,1,2016-04-22,09:30:00,9,2016-04-22 09:30:00,18:21:10,17.1,,12.9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,,OLAZABAL AV.,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.48429180,-34.57558053,Pedestrian-Passengers,Pedestrian,Passengers,2016-0053,2016-04-22,2016,4,22,Pedestrian,Pedestrian,Male,38,2016-04-22
2016-0054,1,2016-04-23,21:00:00,21,2016-04-23 21:00:00,18:19:53,18.6,rain,69.4,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,"PAZ, GRAL. AV.","AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,Motorcycle-Motorcycle,Motorcycle,Motorcycle,2016-0054,2016-04-23,2016,4,23,Driver,Motorcycle,Male,30,2016-04-25
2016-0055,1,2016-04-25,20:30:00,20,2016-04-25 20:30:00,18:17:26,12.0,rain,98.6,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL",,"FIGUEROA ALCORTA, PRES. AV.","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,Pedestrian-Cargo Vehicle,Pedestrian,Cargo Vehicle,2016-0055,2016-04-25,2016,4,25,Pedestrian,Pedestrian,Male,79,2016-04-28
2016-0056,1,2016-04-26,04:45:00,4,2016-04-26 04:45:00,18:16:27,10.9,,27.9,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",30.0,,"CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,Motorcycle-OBJETO FIJO,Motorcycle,Fixed Object,2016-0056,2016-04-26,2016,4,26,Driver,Motorcycle,Male,26,2016-04-26
2016-0058,1,2016-05-04,14:00:00,14,2016-05-04 14:00:00,18:08:01,13.2,,18.4,LIMA 1471,CALLE,LIMA,1471.0,,LIMA 1471,1,-58.38247542,-34.62556293,Pedestrian-Motorcycle,Pedestrian,Motorcycle,2016-0058,2016-05-04,2016,5,4,Pedestrian,Pedestrian,Female,57,2016-05-08
2016-0059,1,2016-05-08,16:30:00,16,2016-05-08 16:30:00,18:04:24,14.7,,82.2,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,,LIMA,CIUDADELA y LIMA,1,-58.38222219,-34.62728101,Pedestrian-Passengers,Pedestrian,Passengers,2016-0059,2016-05-08,2016,5,8,Pedestrian,Pedestrian,Male,37,2016-05-26
2016-0064,1,2016-05-14,18:11:00,18,2016-05-14 18:11:00,18:00:03,12.0,,64.0,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.",,CARRASCO AV.,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.49485242,-34.62953445,Pedestrian-Passengers,Pedestrian,Passengers,2016-0064,2016-05-14,2016,5,14,Pedestrian,Pedestrian,Male,20,
2016-0065,1,2016-05-20,14:40:00,14,2016-05-20 14:40:00,17:55:59,12.6,,49.4,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,,ESPINOSA,GAONA AV. y ESPINOSA,6,-58.45227946,-34.61068024,Pedestrian-Car,Pedestrian,Car,2016-0065,2016-05-20,2016,5,20,Pedestrian,Pedestrian,Male,20,2016-05-20
2016-0067,1,2016-05-21,17:00:00,17,2016-05-21 17:00:00,17:55:24,11.3,,57.5,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO",,SARAZA,"DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.67512760,Motorcycle-Passengers,Motorcycle,Passengers,2016-0067,2016-05-21,2016,5,21,Passenger_Companion,Motorcycle,Female,30,
2016-0068,1,2016-05-22,22:00:00,22,2016-05-22 22:00:00,17:54:41,11.7,,22.2,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",,PUEYRREDON AV.,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,Motorcycle-Passengers,Motorcycle,Passengers,2016-0068,2016-05-22,2016,5,22,Driver,Motorcycle,Male,58,
2016-0069,1,2016-05-23,03:30:00,3,2016-05-23 03:30:00,17:54:05,11.7,,17.5,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,,FILIBERTO,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,Car-Cargo Vehicle,Car,Cargo Vehicle,2016-0069,2016-05-23,2016,5,23,Driver,Car,Male,30,2016-05-23
2016-0073,1,2016-06-11,15:00:00,15,2016-06-11 15:00:00,17:49:39,8.1,,2.9,MAGARI¥OS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",3900.0,,"MAGARIÇ?OS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,Motorcycle-Cargo Vehicle,Motorcycle,Cargo Vehicle,2016-0073,2016-06-11,2016,6,11,Driver,Motorcycle,Male,23,
2016-0074,1,2016-06-12,06:40:00,6,2016-06-12 06:40:00,17:49:33,8.9,,0.0,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,"PAZ, GRAL. AV.",,"SCAPINO, RODOLFO","PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,Car-Car,Car,Car,2016-0074,2016-06-12,2016,6,12,Driver,Car,Male,60,
2016-0075,1,2016-06-12,23:13:00,23,2016-06-12 23:13:00,17:49:29,9.0,,0.0,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,MIRALLA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,Pedestrian-Car,Pedestrian,Car,2016-0075,2016-06-12,2016,6,12,Pedestrian,Pedestrian,Male,42,2016-06-12
2016-0076,1,2016-06-13,16:20:00,16,2016-06-13 16:20:00,17:49:38,10.6,,25.7,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,,CAMARONES,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,Pedestrian-Passengers,Pedestrian,Passengers,2016-0076,2016-06-13,2016,6,13,Pedestrian,Pedestrian,Female,53,2016-06-13
2016-0077,1,2016-06-13,21:52:00,21,2016-06-13 21:52:00,17:49:15,10.7,,22.0,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",,"ALEM, LEANDRO N. AV.","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.37027770,-34.60536123,Pedestrian-Passengers,Pedestrian,Passengers,2016-0077,2016-06-13,2016,6,13,Pedestrian,Pedestrian,Female,42,
2016-0078,1,2016-06-13,23:01:00,23,2016-06-13 23:01:00,17:49:22,10.7,,22.7,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,,JUJUY AV.,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.61463830,Motorcycle-Motorcycle,Motorcycle,Motorcycle,2016-0078,2016-06-13,2016,6,13,Driver,Motorcycle,Male,30,
2016-0079,1,2016-06-16,17:13:00,17,2016-06-16 17:13:00,17:50:00,12.3,,41.6,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,,"UDAONDO, GUILLERMO AV.","DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,Car-Car,Car,Car,2016-0079,2016-06-16,2016,6,16,Driver,Car,Female,51,
2016-0080,1,2016-06-18,06:42:00,6,2016-06-18 06:42:00,17:50:21,12.3,,11.7,AV GRAL PAZ Y AV RIVADAVIA,GRAL PAZ,"PAZ, GRAL. AV.",,RIVADAVIA AV.,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,Car-No Data,Car,No Data,2016-0080,2016-06-18,2016,6,18,Driver,Car,Male,60,
2016-0081,1,2016-06-22,07:42:00,7,2016-06-22 07:42:00,17:51:15,10.3,,6.9,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,"LARRALDE, CRISOLOGO AV.",,MACHAIN,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.48721060,-34.55904606,Motorcycle-Car,Motorcycle,Car,2016-0081,2016-06-22,2016,6,22,Driver,Motorcycle,Male,40,
2016-0082,1,2016-06-27,18:24:00,18,2016-06-27 18:24:00,17:52:21,12.7,rain,99.8,AV LA PLATA 2384,AVENIDA,LA PLATA AV.,2384.0,,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,Pedestrian-Car,Pedestrian,Car,2016-0082,2016-06-27,2016,6,27,Pedestrian,Pedestrian,Male,87,2016-07-05
2016-0083,1,2016-06-28,20:46:00,20,2016-06-28 20:46:00,17:52:52,9.7,rain,79.2,AV JUAN B ALBERDI Y PUAN,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",,PUAN,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,Pedestrian-Motorcycle,Pedestrian,Motorcycle,2016-0083,2016-06-28,2016,6,28,Pedestrian,Pedestrian,Female,76,2016-06-29
